,CD4 T,CD14 Monocytes,B,CD8 T,FCGR3A Monocytes,NK,Dendritic,Megakaryocytes
9482,AC120194.1,ZNF586,AL590452.1,CALCOCO1,PIGV,SLC27A5,HELQ,STT3A
9483,WWC2,SCGB3A2,CHN1,CBFA2T3,NCOA2,PPARD,ZNF566,SWSAP1
9484,CDKN1B,CTC-301O7.4,ROBO3,ARMC2,HYPK,SLC25A51,EPS8L1,COG5
9485,PARP3,VPS37A,STXBP5,TMEM33,DFFB,ZNF467,KCNG1,EPHX2
9486,METTL4,FABP5,AC073283.7,OFD1,CEP41,MED13,TAPBPL,CMTM8
9487,RP11-215P8.3,ALPK1,RP11-532F6.3,GABARAPL1,ARMCX3,ENKD1,RP3-467N11.1,ATG4A
9488,AC062029.1,POLDIP3,SLC38A10,RP11-455F5.5,PPFIBP2,UBAP1L,RP11-649E7.5,RNF121
9489,EMC10,GPR133,VPS28,KIAA1551,TSC1,IL1RL2,SLC36A4,LINC00176
9490,CMTM7,RRM1,ZNF664,LRRC42,WSB2,LINC00852,TESK1,ARNT
9491,ZNF222,HSCB,MAPK14,C1orf50,RP5-1024G6.7,TMEM161B-AS1,CTC-523E23.11,LTBP3
9492,EMILIN2,RAPGEF6,TRIM47,WDFY4,EIF3B,CASC5,TRAM2,GAB3
9493,MAP4,ZFP69,RNF34,MCM2,RP11-750H9.5,KIF2A,FAM206A,PTPN22
9494,LINC01023,EXT2,RINL,TMED9,HLA-DOA,VKORC1L1,BCL9,DPYSL2
9495,AZI1,S100A5,FAM210A,AC093609.1,STRBP,SSR2,PPAPDC2,ZNF621
9496,COMMD2,RAB33A,ZNRF2,APMAP,ZYG11B,RP1-168L15.5,ZNF282,C10orf128
9497,OGFOD1,RNF122,RP11-54O7.11,C5orf51,AC113189.5,SMIM4,BCORL1,GCSAM
9498,ANKRD34B,UTS2,PRPF40A,PEX7,SCYL2,ZNF395,HSF2,GTF3C1
9499,RP11-58E21.3,SLC35E1,ADAM17,GCNT2,MED18,MCM4,RP11-443B7.1,ZNF766
9500,MFSD7,LINC00959,FAR1,WBP2,RP1-8B1.4,AC093323.3,PARPBP,PRDM4
9501,CUL1,RP1-315G1.3,C19orf40,MED27,TM9SF4,HCFC2,NFAM1,PTPLB
9502,ICT1,CRNKL1,GMNN,ASPHD2,WDR5B,CTD-3093M3.1,ZNF792,CCDC71
9503,GUCY1B3,HSPA5,NFAT5,RP11-126K1.2,ERMARD,UNC50,NRF1,SPATA20
9504,MSH5,ATXN7L2,F8,EPRS,GMDS,MSANTD2,TFDP2,C8orf82
9505,ORC5,LXN,DECR2,MICA,AC040977.1,IL4I1,ZFAND1,CD19
9506,INPP5E,ZNF189,RP11-131L23.1,FAAH,CORO2A,ENC1,WNT5B,DPH6
9507,NOL11,GLS,PPM1J,RPL37A,TMEM91,TRIT1,VEGFB,PCM1
9508,KBTBD8,RP11-446N19.1,LTN1,MRPS28,MAP3K6,TBCEL,AC017002.1,HAPLN3
9509,SLC26A6,ALG10,BEX5,FAIM3,MFHAS1,RP11-589C21.5,CNOT1,NEDD1
9510,RASGRP3,AC097500.2,AC147651.3,KRT7,ERI1,PHTF1,DVL3,DDX47
9511,SLC25A15,RP11-258C19.7,MLYCD,OSBPL1A,GUCY1B3,LAMP1,MDFIC,C16orf70
9512,ZNF282,UXS1,QSER1,PLXNA1,LYSMD3,EXOSC9,C15orf41,RP11-277L2.3
9513,SLC38A6,CLK4,UGGT2,MEF2BNB,TRIM68,CYB5R3,MSH5,KDM1A
9514,SH3YL1,SLC39A9,AL139099.1,TRIM61,N6AMT2,RFX3,KATNAL1,CCDC86
9515,TTLL3,SLC2A8,NSF,RP11-563N4.1,GPALPP1,RN7SL832P,RAPGEF1,CCND2
9516,ZNF548,ARIH2OS,NPTN,FAS,SLC24A4,DOK1,EPM2AIP1,PCCB
9517,DIP2A,PICK1,ZNF25,DHX40,CEP57L1,PRKAR1B,ATAD5,SH3TC1
9518,RP4-784A16.5,MTERFD2,PTRF,SIGLEC7,LINC00938,POFUT1,VEGFA,SKP2
9519,UTRN,TAX1BP3,CDK17,NAPSA,DONSON,PITPNA-AS1,LBR,SGTB
9520,SLC9A7,ATP6V1G1,CRYM,SLC19A1,NIPAL2,AMER1,DNAJC3-AS1,ICOS
9521,EGLN1,TNPO1,CTD-2562J15.6,ZNF268,ZHX2,AMPD3,MED9,MIOS
9522,NFKBIE,UBE2Q2,C2orf49,TCF7,PLEKHA7,PHRF1,AC002310.12,MYCL
9523,LOXL1,TOMM5,RPL22,NAB2,ICOSLG,KIAA1429,CCT6B,HINT3
9524,PPIH,SZT2,SNAPC4,DESI1,CRY2,PPP2R2A,RPH3AL,CCDC6
9525,GNB1,RP11-634H22.1,CDC37,LINC00623,CES2,TSPAN13,ATP6V0E2,YIPF6
9526,FCGR1B,CBX8,RFNG,TAP1,TOMM5,NETO2,SETMAR,MYOF
9527,YTHDF1,TSN,CTD-2162K18.5,MFAP1,DTNB,RP11-159D12.2,KIF20B,NEIL2
9528,SOX7,HSP90B1,CTD-2555O16.4,KDELC1,TACO1,FASTKD5,BAG4,ANKRD36C
9529,ARHGAP5-AS1,POLR1E,CDC73,RP11-505K9.1,CEP135,GS1-393G12.13,ALOX12,MSH2
9530,PDIK1L,RP11-701P16.2,DHX34,PSIP1,RP11-545E17.3,TRAPPC10,ZNF865,NRG1
9531,ENHO,MAP3K7,TUBD1,GTDC1,S100Z,TRPM7,CISD2,RAD1
9532,FAM229B,CCR5,ZBTB40,ARID1B,NVL,AC007036.6,ZNF181,LATS1
9533,MFGE8,TSTA3,ZNF678,PGBD2,PGAP3,ARHGAP32,SEC14L5,RIF1
9534,HSPA6,C3orf14,SPAG9,NEDD9,SLC43A1,ASCC1,TGFBR3,SLC25A40
9535,SIAE,HMGN3-AS1,RP11-1055B8.7,NCOR2,NCKAP5L,MTFR1,RYK,SLC15A4
9536,ZNF674,CTNS,METTL15,NKD1,KATNAL1,NEFH,FZD3,PRMT7
9537,RIF1,RP11-802E16.3,FEM1A,KCTD21-AS1,YPEL2,CACNA2D4,KIAA2018,EIF3J-AS1
9538,TSPYL2,PNOC,ZDHHC8,CTDNEP1,AL928768.3,ADAMTSL4,TCEB3,GLMN
9539,FARP2,SEC11A,TMEM218,ACTN1,AMBRA1,SLC26A11,CDK3,FGD4
9540,LMF2,FAM13B,RP11-326C3.2,ABHD16A,MFAP3,SUMF1,WDR35,STRIP1
9541,PAM16,AP1B1,NUDT17,KIF3B,INTS4,PP13439,APBB1,TFIP11
9542,CCHCR1,C18orf32,SUCO,WWP1,ATIC,NUB1,NBPF20,BLOC1S5
9543,SELM,PEX26,ATP5L2,SLC1A4,TCFL5,ZNF518B,ADCY4,TRIQK
9544,TYK2,RP11-936I5.1,STX8,MIER2,ASAH2,PARP11,KIAA1147,SLC25A4
9545,EBF1,NAP1L2,SIRT3,AURKAIP1,F8,NINJ2,ADARB1,CTD-2037K23.2
9546,LRR1,DUSP10,RNF185,CTB-102L5.4,LOH12CR2,KIAA0100,TRIM23,ENTPD4
9547,REL,ACVR1,SSH1,ITGAE,SUSD4,LZTR1,ZNF773,C10orf76
9548,MAZ,SNURF,LCNL1,EIF1,ENHO,RP11-245J9.4,MMEL1,ACSL1
9549,LINC00094,PLB1,FAM84B,SLC14A2,RP11-102N12.3,CTC-241F20.3,CTC-503J8.6,RP11-473M20.7
9550,FAM71D,CWC25,EFHC2,GLO1,TBCE,TGIF2,MOSPD2,ARIH2OS
9551,RP11-554J4.1,OXCT1,RARS,CDC42EP2,TUBB4A,FFAR3,CYP2U1,B3GNT2
9552,AC195454.1,C8orf33,LRIG2,C2ORF15,CCDC93,HSPH1,KCTD9,HIGD1A
9553,SERPINB9,EIF2AK3,CTD-2302E22.4,GREM2,AMPD3,CEP290,ZDHHC4,STK11IP
9554,BECN1,USP47,KIF21B,TRAPPC11,ACD,TRAPPC11,MICB,KIAA2013
9555,HAAO,SLC19A1,STRIP1,PBX3,COX7A2,KIAA0556,CENPP,C1orf56
9556,CD3EAP,ERI1,KCNH2,BRD8,FBXL4,TMTC2,FAM198B,FNDC3A
9557,ARHGEF9,ZNF582-AS1,NUP155,ASCC1,PURA,CKAP5,DNAJC2,TMEM161B-AS1
9558,PKHD1L1,MGAT2,GSK3A,MANEA,XXYLT1,C2orf74,CTC-459F4.3,CRELD1
9559,NXPH4,SPIN4,KIR3DL2,LINC01003,TRIM24,IL2RB,SEPT11,XKR8
9560,MRPS27,EMC9,KCTD15,TTC22,DYNC2LI1,SLC5A6,GTPBP2,ARPP19
9561,DNAJA4,ANGPTL6,ZBTB9,NUCKS1,THOP1,RP11-195F19.5,RP3-399L15.3,ELK3
9562,CUBN,AC009506.1,IL10RB-AS1,GCNT1,CNDP2,PHOSPHO2,FCRLB,BDH2
9563,CASZ1,DDT,LRRN3,ZCRB1,POPDC2,BCDIN3D,CARF,UBFD1
9564,LRRC37B,NCR3,PPP4R2,ALKBH3,ANXA11,ANKRD35,SLC6A16,LRRC8C
9565,TECPR2,ACSL3,NXT1,VPS13D,LTK,DCLRE1C,TPCN1,NDRG2
9566,C15orf39,RP1-159A19.4,PTAFR,C1QA,LRRC40,MED13L,RP11-407N17.5,EXOC2
9567,KIAA0825,SMNDC1,PATZ1,TAF1A,RNLS,ARFGEF2,ZCCHC4,SLC25A17
9568,SPATA5,SNX11,BBS1,FCRL2,SQLE,SLC30A6,ZNF526,HIVEP3
9569,PLEKHA5,LEMD3,CEP164,C11orf80,IKZF4,TMEM218,RP4-647C14.3,SLC16A7
9570,TMEM44-AS1,CTB-58E17.1,GRAMD1B,ZNF585A,PNOC,RNF111,ZBTB11-AS1,MCCC2
9571,SFMBT1,FANCB,WDR37,TMEM86B,RP1-261D10.2,SIDT1-AS1,PIGH,ELAC1
9572,SLC2A13,AKR1C3,C11orf74,TNPO1,SCLT1,ING1,NEK4,NRDE2
9573,MTA3,TGDS,AP001189.4,ZCWPW1,DDX47,LINC00968,FAM103A1,SP1
9574,FAM73A,CA5B,TBC1D2,SENP1,LARS2,YIPF2,SLC44A1,NOP2
9575,KIAA0232,C11orf95,PRR12,ZNF614,MAN2A2,PSMC3IP,GADD45G,ABI2
9576,RP4-612B15.3,TPMT,TKTL1,RP11-634H22.1,TAB1,BTAF1,ZIK1,NRM
9577,ANAPC13,FBXL16,ATM,SLC17A9,RP11-879F14.2,PLEKHF2,SMIM20,SIGLEC1
9578,FOSL2,UPF1,DACT1,NAB1,SOCS4,LRRC14,PRKCI,UQCRB
9579,GPR160,RORA,HELZ2,MYBL2,SETMAR,PDE6G,NUSAP1,INTS5
9580,SPAG8,SIPA1L1,DISC1,SLC30A7,ZNF587,CDC42SE1,HIP1R,KAT2A
9581,MIB1,USP31,KIDINS220,PARPBP,PDIK1L,HIBADH,RP1-43E13.2,BCKDHA
9582,SH3TC1,ARG2,DNAJC17,MRPL33,ELP4,FASTKD2,FAM105B,DOK2
9583,RP11-195F19.5,RP11-261C10.3,DDX31,MAP3K6,KCNQ1,PPP3CB,KIAA1407,GALNT1
9584,GSKIP,MSH6,C4orf33,TPST1,RP11-473M20.14,KRBOX4,CLPB,CASC7
9585,NMUR1,SLC2A4RG,FDXACB1,CD14,TMCC2,C19orf82,GFM2,VPS11
9586,SLC2A8,AC062029.1,LYSMD3,C2orf44,CTD-2369P2.2,GGH,ZNF699,ILVBL
9587,METAP1D,INTS10,RP11-15A1.3,CYB561A3,HDAC9,TOP2A,ADORA3,WWP1
9588,ZNF461,SLA,FBXL20,ELOVL6,ITGB3,ALS2CL,SCAP,RP11-63P12.6
9589,PPP2R2A,RP11-867G23.4,C2orf76,SKA2,RFX7,RP5-935K16.1,PPIP5K2,UBE3B
9590,ZNF284,TRAPPC3,VPS18,ALKBH2,CHCHD7,TMEM86B,MAN2A2,PTPLAD1
9591,AP4B1,CEP57L1,ATP7A,ZNF292,UBR1,SCRN2,PIK3R5,JAZF1
9592,ABL2,SLFN12L,ABCC10,RP11-620J15.3,ELOF1,RP11-522I20.3,TNPO2,FAM63B
9593,NME4,NPEPPS,FAM201A,ICOSLG,SIGLEC14,GNGT2,NFATC2,VWA9
9594,C10orf95,EME2,TFE3,TRAPPC6B,ZCCHC10,CENPN,PRKD2,NUCB2
9595,AQP10,CSNK1D,PET112,LINC00843,DLG1,EED,BLOC1S4,CDK6
9596,KDM4A,ZNF487,KHK,RCN2,SLC9A6,BTLA,MGST3,ACTR6
9597,ZNF569,RP11-164H13.1,GK5,CNR2,RP11-110A12.2,GTF2H2C,UBTD2,TFB1M
9598,SLC23A2,RNASEH2A,VPS11,RPS10P7,TRIM62,GPX7,LRRC59,ARL11
9599,FAM8A1,MRE11A,SCAF8,RARG,H3F3C,AC147651.4,RP9,RP11-18H21.1
9600,PCK2,CRYBG3,MBOAT2,NHLRC2,UBE2H,UHRF1BP1L,BBS4,SRP72
9601,STARD3NL,ADM,NAT10,RP11-252A24.3,MED1,RMI1,RNF214,SIGLEC7
9602,OGFR,LSM11,SPEN,TIAM2,KDM6A,WDR43,SORD,FOXO3
9603,PMM2,SMARCA4,AC025335.1,FBXO5,PDE7A,TLR7,CEP128,MRRF
9604,PARD6A,MEI1,CHPF,SMARCE1,TRAK2,RP11-473M20.14,KLHL9,ZHX1
9605,EPT1,BCAS4,CDK7,NRAS,RP11-142C4.6,RALGDS,PDE6B,PWWP2A
9606,HCCS,TTC33,PTPLA,LNX2,ZBTB3,TSGA10,DMTN,GEMIN2
9607,RP11-65J3.1,MAP2K7,MEG3,CES4A,ZNF790,SLC35C1,ZNF862,UTP14A
9608,B3GALT4,KIF3A,AQR,E2F1,SPSB1,NR3C2,STRADB,RPS6KA5
9609,ALKBH1,PHF12,CAMK1,FBXW11,L3MBTL3,NT5DC2,AL354822.1,MTMR9
9610,ZKSCAN4,GPATCH2,EDEM3,THOC3,PEX10,GOLPH3L,ARL17B,CDC14A
9611,PPP6R2,TMEM97,C17orf75,MYLPF,ELP2,SNX10,TDRKH,CLEC4E
9612,MDGA1,RP11-1079K10.4,FAM43A,ACTR1A,POMT2,RUFY3,ARL14EP,CCR2
9613,UBE2H,TUG1,STOML2,RP11-367J11.2,ZNF440,FAM131A,LY75,GNPDA2
9614,TIMELESS,TMEM41B,TIGD2,BIK,PPP1R12C,RP11-309M23.1,FKRP,DEAF1
9615,GIGYF1,NIPA2,LHFP,AC005082.12,NR2F6,LMTK2,UGGT1,MINPP1
9616,MARK4,MZF1,C1orf61,ADCK2,SH3KBP1,FBXO22,DDX43,ERO1L
9617,RP11-701P16.5,LETM2,CTB-55O6.4,RNPEPL1,ARHGAP18,NAA30,COPB1,MLTK
9618,RNASE2,FAM86C1,EFTUD1,FMN1,FAM122B,PPP2R2D,CNTROB,LRRC8A
9619,AGGF1,ORAI2,CNTLN,MRPL52,RP3-395M20.12,C12orf66,PRKAG1,MBD6
9620,KIAA0513,CD6,PRKRIP1,RP11-53I6.3,ZFPM1,PBX4,SPCS3,SLAMF1
9621,MLC1,DCUN1D4,ZMAT4,PEX26,JUP,CBX1,FAM173B,TET3
9622,MEX3C,FAM110B,PPP2R5E,AD000090.2,HOOK1,PTPN23,RP11-429J17.2,TNRC6A
9623,ZNF141,CTD-2319I12.2,LMF1,KMT2D,IFT140,SYNC,AKIP1,EFNA4
9624,DPYSL2,USP28,NUP205,RALGAPA1,APOLD1,CTD-2012J19.3,DUSP22,SLC35B3
9625,C11orf54,MRPL49,BTBD1,CCNJL,IL10RB,GLI4,JRKL,TRMT61B
9626,GGCX,ASB2,KLRC4,RCN3,RP11-95D17.1,FXYD2,COG4,TEX264
9627,TAB3,WDR54,LPP,DEGS1,POLE,RP11-191L17.1,GPSM2,WDTC1
9628,AC010761.8,PLOD1,NEK9,RP4-803J11.2,C1orf159,WDR12,CACFD1,RGP1
9629,BOP1,PAQR3,GPR68,SDR42E1,DHX16,CPT1B,RP11-426C22.5,FCGR2B
9630,FTCDNL1,ACOT7,ZFX,C9orf89,C1QB,HELB,ANKDD1A,TMEM14A
9631,NEK6,GUCY1A3,ARNTL,INTS9,CHSY1,RP11-803D5.4,PNOC,FASTKD2
9632,AC005253.2,LGALS8-AS1,DRAM1,AC079922.3,BZRAP1,RCBTB2,RNF19A,CITED4
9633,MAPK1IP1L,SIDT1,FANCG,ASB13,ZSWIM6,DPP4,ATP6V0A2,KCNQ1
9634,LILRA4,ARL5A,ABHD14A,SPERT,PFKFB4,KHDC1,RAB14,NARFL
9635,VAMP4,L3MBTL3,SARDH,SPECC1L,HMGA1P4,XPNPEP3,DPCD,ZNF76
9636,TAF1D,MACROD2,NCAPH2,AK3,PWP2,SAMD4B,PLEC,AHR
9637,CHD7,NCK1,AGPAT1,SERPINB8,FAM127B,MAGT1,ITPKC,PIGG
9638,KLRC4,NUFIP2,ZFY,THBS1,SLC25A10-1,GCC1,ANKAR,NEK4
9639,FASTKD1,GPSM2,TMEM65,TLR10,TADA1,SGCA,AGPAT5,AARSD1
9640,ZNF175,PRRG2,FASN,GPR141,OGFOD1,CD19,HIST1H4E,CHD8
9641,KIAA0319L,AC009133.12,C1QTNF4,ADD3,GATAD2A,ADAM17,LGALSL,ECD
9642,SEPT8,MFSD2A,ADAT3,PSMC3IP,POGZ,PIP5K1C,ANKRD22,ZSCAN16
9643,C1orf123,AAK1,RP11-295P9.3,TMEM216,ZBTB26,TTYH2,PAF1,CSF2RB
9644,MINK1,ADORA2A,MT-ATP8,ZNF273,ICK,CCDC26,CDK2,RPS6KB1
9645,TMLHE,KCNN1,RP5-1091N2.9,IFNG,IKZF1,C21orf49,ROM1,S1PR1
9646,PGRMC1,SLC7A6,RP6-109B7.3,DPH1,MILR1,CANT1,ZNF839,CDK7
9647,ZNF623,C10orf91,SCLY,RP11-15H20.7,DNAJB5,ZNF287,EIF5A2,BTBD10
9648,KLC4,ACTL10,SASS6,ZNF442,ADCY4,SENP6,MAGIX,MNT
9649,CCZ1B,TTL,FAM133B,RP5-914P20.5,RP11-22P6.2,TK2,RP11-872J21.3,EAPP
9650,RNF217,KCNMB1,SLC33A1,APBA3,ERMAP,IDUA,BAHD1,ANAPC2
9651,PRKAG2-AS1,RPS6,CES1,GMIP,SNX20,MSTO1,CLEC12A,ELK1
9652,ZNF644,ZSCAN32,FN3K,RP11-391M1.4,PPP4R1L,GID4,PPP6C,CCL3L3
9653,NIT1,ZCCHC3,WDR26,ARHGAP21,RP1-20N2.6,CRLS1,OXSR1,BEST1
9654,DAPP1,SMN2,KIAA0586,GALNT3,IRF8,QARS,KIAA1524,EXOC5
9655,PER1,PPM1D,RASGRP1,ANKS1B,C19orf33,CAST,THRA,MTMR6
9656,H2AFV,CCL4L2,SLC35G2,NRBP1,WDR24,ANKRD40,ZNF468,KANSL2
9657,ZFAND2B,SNN,NCLN,MTX2,ATP2A3,SLC25A45,HGF,SH2D3A
9658,DVL1,THAP9-AS1,TUBG1,RP11-355B11.2,IST1,NCAPG2,CCL28,CTDSPL2
9659,LTBR,COG1,TECPR2,SLC39A3,CLMN,TMEM220,GALR2,DCUN1D1
9660,SEC61A2,POLR3E,ZNF404,FAF1,SLC37A4,ZNF268,PDIK1L,BRAP
9661,SIK1,MYO1E,RNASE2,SERPINB9,SLC30A6,MRPS14,VTI1B,LIN7C
9662,CA2,RP11-262H14.4,IL1R2,PCBP3,RAB3A,AC116366.6,PRR13,TRAPPC13
9663,POM121,PIGC,MFHAS1,ANKRD40,KLHL7,BEX5,ZNF681,ATP6V0A1
9664,RNF138,SLC10A3,LINC00649,RP11-20B24.5,ACP5,PEAK1,PCTP,RP11-291B21.2
9665,MORC2-AS1,MZB1,RP3-428L16.2,RP13-1032I1.7,RHOQ,MGMT,STRADA,TEFM
9666,TRIM26,MIR4453,TSC1,GPR180,ACAP3,GAB1,PRKRA,UBIAD1
9667,TUBGCP4,HSPA1B,ATP6V0A1,SPIN1,APOO,SQLE,PARG,EPS8L2
9668,TMEM214,SUOX,GPR132,CRYZL1,AGO1,RP11-390P2.4,FASTKD3,UBASH3B
9669,EXOC6B,TBX19,ALDH3A2,AAGAB,RP11-600F24.7,NFATC1,PLEKHB1,ZNF281
9670,COX7A2,MDFIC,C17orf62,NET1,IL4I1,HERC1,RP11-568N6.1,FAM53B
9671,TFEC,CYHR1,ZNF395,LINC00426,CTD-3088G3.8,H2AFV,GNPTAB,CDCA7L
9672,AC142528.1,BRCC3,PTPN4,HSPBP1,NUAK1,KDM6B,SERPINE2,CA5B
9673,BTG3,CCDC71,RIN1,LINC00937,RP11-1399P15.1,CTA-384D8.35,C9orf40,PHRF1
9674,HNRNPL,VPS54,INTS4,RP11-474G23.2,BCL9L,SESN3,HDAC11,AUH
9675,LARP4,SLC25A42,DR1,COASY,ABL2,RP11-443B7.1,ITFG1,ASCC1
9676,SIGLEC5,PIGH,RP11-288H12.4,C22orf34,USP49,HIC2,AMN1,TCF12
9677,GRPEL1,ZBTB5,FAM117A,ZNF43,HHEX,ZNF300,CPOX,LINC01004
9678,PPP2R3A,TMEM234,NOM1,C4orf27,KIF16B,CD97,LRR1,DHX38
9679,PTK2,FASTKD1,PLK3,FYTTD1,RP11-498P14.5,CTB-133G6.2,ASNS,HCG18
9680,SPATA41,PLSCR1,GPR126,MAP3K7CL,RELL1,RTEL1-TNFRSF6B,WDR59,TCEAL8
9681,MIIP,STAMBP,TMEM168,NFXL1,AC079767.4,EXOC4,PCBP4,AP3M1
9682,RP3-477O4.14,CEP44,SMG5,NSMCE4A,SLC9A9,SPATC1L,BAIAP2-AS1,FAM129A
9683,NBPF12,IFT172,SEPSECS,RPP14,EPHB6,TLN1,CDC20,SFXN4
9684,ALKBH3,KIAA1731,LPHN1,MAZ,SPHK1,NRIP1,PHF6,TCEA3
9685,APH1B,DBN1,RP11-285F7.2,ZFX,FAM13B,C9orf142,AC078883.3,LMNB1
9686,ZNF346,WDR83,PACS2,RP5-1112D6.4,SUV39H2,AP003774.6,ZNF154,ACBD3
9687,ADCK5,TMEM68,LRRC29,HES4,EIF1AX,GOLGA5,CCDC180,DMXL2
9688,CCPG1,B3GNTL1,APEX1,MBOAT2,MTERFD2,EXD2,LINC01136,INTS4
9689,TTI1,CTD-2267D19.2,CDC42EP2,C6orf89,TAGAP,ORC2,AAMDC,FCRLA
9690,LMNB1,BCL9,TMEM30B,GIT2,TRIM3,SLC41A3,HDGF,CEP135
9691,PTPLAD1,TUBGCP4,ZFHX3,PSMD14,FNIP1,MCUR1,RP11-337C18.8,BHLHE40
9692,ZNF483,SPTBN1,FZD3,EIF4ENIF1,ARRDC1,ABCC3,YTHDF1,CAPNS1
9693,VMP1,EIF4ENIF1,HS6ST1,SACS,ERAL1,ARHGAP25,KIAA0586,ACOT2
9694,GPM6B,RP11-35G9.3,ZNF571,ARL8B,TBC1D8,MED29,RP11-727F15.9,PDK3
9695,EIF1AX,RCAN3,AC023590.1,DGAT1,DNAH1,ZNF584,WBP11,KIAA0947
9696,RP11-273G15.2,WDR19,TTC5,HEXIM2,TMSB4Y,ARAF,RP11-849F2.8,KAT6B
9697,TNNI2,CAPRIN2,TMEM44-AS1,CHRNE,CEP170,WDR65,RP11-138A9.1,RP11-66N24.4
9698,HERC3,RP11-309G3.3,RPIA,MRPL46,KCTD12,HTRA2,SOS1,MFSD5
9699,FOSB,GOSR2,UBR4,PDS5B,METAP1D,PLEKHA1,SLC25A28,L3MBTL2
9700,ZFHX3,SPNS1,FAM126B,CDK5,PWAR6,DNAJB4,DNHD1,ZNF836
9701,ARNT,FAM129A,LRRC46,SPATA5,NBPF12,LAG3,LCAT,SDE2
9702,C3orf52,AP001372.2,RP11-445H22.3,COA1,LRRC14,FBXL6,MRPL35,ANGEL2
9703,NRIP1,PIK3R6,BAALC,CCDC176,KLC4,NNT,ACVR2A,PAK1IP1
9704,TIGD3,CHURC1,CALHM2,ZSCAN21,SNRPB,ATP2A2,WDR33,RAB20
9705,LEAP2,UQCC1,IL13RA1,EXO5,ELK1,MIR142,TNNC2,MED31
9706,C10orf11,ABHD12,PAM,IFNAR1,HMG20A,GATC,NCOA7,PDE4A
9707,PPM1K,UNC45A,F12,ZBTB11-AS1,RPE,RPS6KA2,C16orf93,ZNF350
9708,ZNF354C,TARBP2,CIB2,GNG2,H3F3B,SPATA24,STAM2,NIF3L1
9709,SUPT4H1,VPS13D,RP11-804H8.6,UBE2E2,PDE2A,SPTSSA,CMC4,MTAP
9710,COL19A1,ZW10,OSBPL5,MCM3AP,SPEN,GAB3,NKAP,ALG6
9711,RP11-932O9.7,TRMT12,NDUFA10,MIR22HG,FAM109A,USP34,TMEM150A,TMEM206
9712,GFI1,MAD2L1BP,ULK2,CSPP1,NPIPB3,FAM118B,ARL8A,CEP85L
9713,PPT2,ABCF1,RP11-112J3.16,SP4,TYW3,XPOT,RP11-566K11.5,TCF4
9714,CYP27A1,WDR35,NDUFB8-1,RP11-473M20.14,PSRC1,PCBP1-AS1,C17orf75,RP11-664D1.1
9715,PLCG2,NAP1L5,RP11-166P13.4,STRN4,BBS2,ZNF776,AP5M1,CHAF1A
9716,MRPL39,EYA3,EPB41L3,AP1G1,TUBB,RFC1,AC004540.4,NUP153
9717,BAIAP2,PWWP2A,MARVELD1,KDM4C,KIAA2018,ASPH,UBOX5,C21orf91
9718,ATP13A2,TMEM86A,KIAA1958,RP11-229P13.20,RP11-344P13.6,DDX46,BLOC1S3,TMLHE
9719,KLHL7,UBA1,CLCN1,ASPH,NEK4,CLEC4C,ARRDC5,C20orf112
9720,ZC3H11A,TGFBRAP1,ORAI1,TTLL4,SMYD3,AP2M1,SEC23A,SMG7
9721,ZSCAN25,CCDC34,POFUT2,SPDL1,B3GAT2,FAM188A,HPSE,DDX10
9722,PDP1,KLF3,C1RL-AS1,TCEB3,AGMAT,GTF2I,PAWR,PTPRN2
9723,WDTC1,SAMD4A,TOP1,MCOLN1,PER2,RASSF4,MYO7B,IL18BP
9724,TMCO4,SF3B2,TRIM16,EFCAB2,PSMC2,WSB2,FBLN7,PSMD2
9725,CCT7,RP11-124N14.3,USMG5,ZNF41,RP11-22N19.2,HGF,AGAP6,TRAF1
9726,MBLAC2,RASGRP4,DNAJC18,RNF135,PLEKHB1,RP11-327P2.5,C5orf55,DESI2
9727,HID1,PIGX,TSPYL1,SNX22,ARSB,IL15,ENG,PLOD3
9728,FAM98A,ASPSCR1,CATSPER2,OXCT1,RP11-293M10.5,MLH1,ADAM19,NCOA7
9729,SETD1B,BTBD1,ADAM8,HILPDA,SLC15A3,MALSU1,KIF23,OGFOD1
9730,GGT1,CHM,ADPRM,ZNF83,NDUFA5,SCFD2,C3orf33,MGST1
9731,MMP17,BNIP1,ARAP2,ZNF738,KIAA0922,DDX39B,CENPW,UQCC1
9732,TRIM66,RP5-1043L13.1,HERC3,CTC-534A2.2,ITGAV,XYLT2,ADAM17,DIS3
9733,MCF2L-AS1,TADA2B,EFNB1,NEU1,CHST15,PABPC3,MBNL2,ZSCAN18
9734,ABCD2,TPRKB,TMEM126B,PCSK5,SGMS1,DCTN2,SPICE1,SLC35A3
9735,NCAPH,TAOK1,SMC1A,HSPD1,WDR11,HTT,ZNF485,MYL6B
9736,SNURF,AMIGO2,IGF2R,TSPAN33,SMC5,USP18,TNF,RITA1
9737,ICMT,EDARADD,HS1BP3,PRDX3,TMEM256-PLSCR3,KLC2,C1RL-AS1,GRAP
9738,DBNDD1,CYP2S1,NT5M,STAG3,KNOP1,IL27,SEC24C,RASGRP1
9739,PLEKHG3,PORCN,HYAL2,STARD10,LINC00422,LINC00954,TOP2A,CNOT3
9740,CXCL9,AK5,ZNF320,ZNF740,KMT2A,MMS19,CEP120,OSBPL2
9741,TBC1D2,RP11-318A15.2,RP11-457M11.5,DOT1L,CHI3L2,SLBP,SLC25A42,CIITA
