,CD4 T,CD14 Monocytes,B,CD8 T,FCGR3A Monocytes,NK,Dendritic,Megakaryocytes
10384,EMC9,XRCC6BP1,NSMCE4A,C11orf54,DENND4C,CCDC28B,TMPO-AS1,LYRM9
10385,RP11-661A12.7,JARID2,DTD1,RP3-325F22.5,CTBS,CDC14A,CFL2,CWF19L2
10386,ENOSF1,CHD4,GTF2H2C,TNFAIP1,ZEB2-AS1,COG4,HEBP1,PREP
10387,MTSS1,NUP153,AC016586.1,PARP6,MAFG,RP1-313I6.12,NMNAT3,RNMT
10388,C5orf34,BOLA2B,AC012360.4,ZNF701,CCDC43,ZNF182,TAF1,UQCRB
10389,RP11-554J4.1,PIK3R2,LRRC47,CSTA,POLRMT,ULK1,ERMAP,GTF3C5
10390,GSDMB,PRPF38A,NELFE,AMN1,WSB2,MAL,RBM14,SLC7A6OS
10391,ATF7,AP000254.8,STYX,KLF9,DYNLT1,TARS2,SPAG16,KIAA0100
10392,GSK3A,SIPA1L1,CDKN2C,ACAD10,LRRC47,TCP11L2,MARCH3,PHF12
10393,DOCK11,BRIX1,CD320,CCDC7,NFKBIE,SARDH,DPH1,PITPNA
10394,RYBP,TMEM39B,VPS39,RP11-66N11.8,FZR1,BCL7C,PUS1,ZNF83
10395,ZNF516,MAN1A1,RP1-43E13.2,RP11-433J8.1,CXCR5,FPGT,ZNF746,RRP1
10396,MORC2-AS1,AQP3,BLZF1,PDE9A,IDH1,SRC,HPS4,RP11-81H14.2
10397,RNF24,ANKRD10,ZDHHC3,PTRH2,LOXL1-AS1,FBXL4,DHX9,THAP3
10398,KLHL14,MSL2,MRP63,IRF4,TMEM68,ZNF169,GTF3C4,TMEM63A
10399,MRTO4,AKT1S1,KLHL3,ALG11,FXR2,TMEM256-PLSCR3,C16orf62,FECH
10400,IMPA1,SNX16,ZNF703,RARA,TNFRSF17,DENND1A,DHX37,METTL12
10401,S100PBP,EPB41L4A-AS1,TRIP6,PIAS4,SCLT1,TELO2,PBX4,SUDS3
10402,EREG,PES1,SMKR1,ERP27,MTHFD2,HIF1A,TRMT61A,PPP2R1A
10403,SLC25A4,ACSL5,CCDC112,RP11-792A8.4,SGSM2,ZNF358,TRAPPC6A,SUPT7L
10404,NOL11,RP11-83A24.2,LINC00402,SREBF1,RHOG,SPIN1,KB-1732A1.1,RP2
10405,FPGS,ESCO1,MIB1,TOP1,LARS,JTB,GCNT1,ATG13
10406,EIF3A,FRS2,TXNDC9,NCR1,DTNB,HRASLS,WDR37,PHTF2
10407,CREB3L2,C1GALT1,SLC25A36,CRB3,PPP1R17,RANBP9,TIPARP-AS1,ANAPC10
10408,MAP3K10,SERPING1,H2AFY2,H1F0,C20orf194,TMEM260,SKA2,AP001055.6
10409,TENM1,SMAGP,CTPS2,VPREB3,ZNF7,FAM104B,TULP4,BAG1
10410,CLCN3,KIFAP3,MAP4K2,CAMTA2,PDE7A,MIOS,TARBP2,HBS1L
10411,ZBTB1,HIST1H2BD,NR2F6,CELA1,RP11-295P9.3,RP11-488C13.5,MAP4K5,CCDC66
10412,TGIF1,HSPA1A,C3AR1,C2orf69,PAK1,CXorf56,AGPAT2,EEFSEC
10413,SNX13,LOXL1-AS1,ZNF460,PIDD,FAM46A,ANKRD54,STAT2,CRNKL1
10414,SLC25A39,UBTF,RP11-76E17.3,PARP12,NUCKS1,C20orf201,DGKA,FAF1
10415,CLEC12A,PAXIP1-AS2,AC079305.10,KLF4,RWDD3,ARHGAP6,GALC,SEPT11
10416,PLEKHA5,MKLN1,UBFD1,IMPA2,TTC7A,CD320,FGD4,CERS6
10417,NRIP1,ZUFSP,CHN2,ZC3H10,ZBTB14,CRADD,FCAR,KCTD12
10418,FRAT2,DCTN5,HSPE1,COX18,RP11-110G21.1,CTNNAL1,PLEKHM2,SKA2
10419,RNF13,NQO1,RAB33B,RBM38,SAC3D1,MAEA,TMEM164,NIPSNAP1
10420,TACC1,POLE3,CDIP1,ENO3,SLC25A10-1,GRPEL2,EAF1,POLM
10421,CDKN1A,SECTM1,RP3-475N16.1,SCRN3,RP11-318E3.9,C7orf43,ZNF687,MANBA
10422,DYNLL2,C11orf74,MGST1,YPEL2,RP11-463J10.3,HTR3A,ACP2,BEST1
10423,CCDC65,ACP6,ZNF189,CMTM5,CCL28,C1orf228,ITGAX,SH2B2
10424,ZNF846,NCOA6,MPDU1,FAM109B,COLGALT2,MATN1,CEBPE,VPS13A
10425,TOX,MRPS9,TMEM259,PEX19,RP11-11N9.4,RAD17,CNP,CREBRF
10426,FRAT1,IGF2R,XRCC1,DGCR8,TDRD7,ZER1,ZSCAN32,SMAD4
10427,NRGN,RP11-455F5.5,PHC3,CCDC180,C2orf88,DNAJC13,VPRBP,FBXO21
10428,CEP89,RP11-728F11.4,IGF2BP2,ZDHHC18,FSTL1,STON2,C8orf58,PPP6R2
10429,ULK4,PPME1,FRMD8,ARHGEF37,C9orf41,MAGED1,C4orf32,EIF2B4
10430,SLC12A9,TMEM185B,FGD3,TRIP6,SPNS3,ANKRD9,DIDO1,SLC25A36
10431,SUV420H2,LIN7A,CEP63,SRSF10-1,FANCI,ANKS3,C11orf30,MTHFD1
10432,ZBTB43,SLC2A11,ELMO1,TM6SF1,TMSB4X,SLFN12,PTPN7,HERC3
10433,TWSG1,CDK17,GPR35,RAB2A,HIST1H2BJ,SF3A3,PTCD3,YIPF1
10434,GSN,ZNF765,HERC1,ARL3,FN3K,PSIP1,CHCHD6,SLC7A6
10435,MRPL40,MKRN2,UPF1,MAGEE1,CXorf40A,CFH,PRUNE,TCEB3
10436,KIAA2018,SGK3,ARHGEF7,REXO1,C8orf44,AAMP,DYNC1H1,C14orf80
10437,FASTKD1,ITGAV,C5orf30,SLC16A7,TCEA1,YEATS2,HOXB-AS1,TFAM
10438,CXorf38,LARP4B,RRAS,PDZD4,TEF,IL17RC,ANKRD52,PAXIP1-AS1
10439,DCAF15,EIF2B3,FOXN2,ZNF551,CHI3L2,PCDH9,RP11-299J3.8,MBD1
10440,NAT14,USP38,TREML1,ZNF135,CTD-2325M2.1,SAMD1,RB1,PGM1
10441,TLR3,SMAD5,LILRA1,BARD1,MGMT,XIAP,NT5M,IFT43
10442,ZNF101,RRAS2,ALG6,BTBD7,RP3-508I15.22,POM121C,GCAT,C19orf48
10443,FAM21B,CXCR5,N6AMT2,MORN2,RAP1GDS1,AC093495.4,CKB,SIDT2
10444,MARCH5,GDAP1,SEPT5,ZDHHC4,HOMER2,UBE2J2,MRPL27,TCTN3
10445,ZNF346,PMEPA1,MIAT,ZFYVE20,CLDN5,CHD3,HEATR5A,HPS4
10446,RP11-154J22.1,FAM86A,BCLAF1,ERF,RRAS,ZMAT1,HS1BP3,EP400NL
10447,GABPB2,KIDINS220,PROSER1,SRF,RRP12,MACROD1,KIAA1683,PGM2
10448,TRIM28,ATAD5,ZNF587,PARP8,LRRC26,SIKE1,RAB33B,NUP37
10449,TMEM180,ACAD10,BCL6,HCAR2,RP11-656D10.3,RP11-343N15.5,ARHGEF9,FBXL12
10450,CNFN,ZDHHC20,GSK3B,RP11-65I12.1,KRT18,PAPD4,RP11-25K19.1,EHMT2
10451,HIST1H4C,PNPLA4,KIAA0196,TRIM65,LRMP,ARGLU1,LRMP,SPIB
10452,COQ4,KDELR2,CLIP4,RP11-315I20.1,KRT10,ZNF664,KCNMA1,RNF146
10453,ATP13A2,PBX3,SLC4A1AP,KANSL2,ADIPOR1,ARSG,CCDC157,ST8SIA4
10454,MSC,AKAP1,CSNK2A2,MS4A4A,TBC1D10A,MYO15B,DENND4A,EMR1
10455,OSBP,RP11-473M20.7,PPARGC1B,PTAFR,ATP6V1H,LIG1,MIR4458HG,RPRD2
10456,AAR2,EPM2AIP1,HIVEP3,MICU1,SERPINB8,SGSM3,PRDM4,LAMTOR3
10457,BCCIP,DDHD2,CLSTN1,EGR2,CEP85,MCM6,DCAF17,HDAC7
10458,IRF9,MRPS33,BRD8,VEGFB,TPT1-AS1,CMC2,AP006621.5,MXD3
10459,RNF216,CMTM8,MFGE8,SLC12A7,BMF,FAM122A,CD81,ATXN1
10460,ZNF330,ABL2,ZNF561,SLC9A3R2,ZNF681,TAMM41,SLC39A11,RGL2
10461,TFPT,TOPBP1,SLC25A40,DCUN1D2,TRAPPC11,UBA6,SLC35D2,GATAD2B
10462,MTRF1,CXXC5,ZKSCAN4,AREG,ZNRD1-AS1,SPTBN1,C3orf14,FBXO4
10463,FBLIM1,ARAP3,RTN1,SLC35C1,CACNA2D4,EIF2AK4,PDIA5,SETD2
10464,RARS,IPO7,TBC1D15,MFSD6,THOC2,C8orf59,HDLBP,TOP2B
10465,C17orf58,PDE3B,ZNF646,BRPF1,AC129492.6,CTC-378H22.2,TMEM14C,NNT
10466,MBOAT1,TYW3,HSPA1B,MACROD1,NUDT22,GDPD3,RP11-620J15.3,STYXL1
10467,ZNF623,CASC4,PDLIM7,CLDN7,MTF2,FAH,PRR7,MRPL35
10468,ZFP1,CD84,ERO1LB,FUT4,SNX17,IFI44,NOSIP,RP4-728D4.2
10469,CPNE5,STX17,CTSL,ZNF654,MAL,RP11-44N11.2,ZNF317,C12orf45
10470,CNN2,SBNO1,AC004951.6,DUSP6,TTN-AS1,ST8SIA4,ATP13A3,SAMD9
10471,RABIF,PGRMC1,WDR44,MAPRE1,CTD-2256P15.4,GNPDA2,UBN2,FCHSD2
10472,CANT1,CAD,MDK,RBM4B,MSH2,DNMBP,CCDC102A,EIF2B3
10473,GNG5,BZRAP1-AS1,MIER2,ACYP1,UBE2D3,TCTN1,hsa-mir-8072,MXD4
10474,MED12,RASGRP4,WAPAL,CWF19L1,MDS2,USP30,KDELR2,ARID2
10475,BZRAP1,RABL2B,ZSCAN29,RP11-1114A5.4,PJA1,RWDD2B,C12orf23,DPYD
10476,PPP2R5D,KIAA2018,SLC1A5,RP11-582J16.4,ZNF230,ORAOV1,ARL5B-AS1,ABCF3
10477,TMEM19,DBR1,UBE2Q1,TIPIN,OSGEPL1,PPM1G,AC002117.1,CLIP1
10478,ZSCAN30,F13A1,PGBD4,PRRT3,PDLIM5,TAF4,CROT,SNHG12
10479,IPO7,BACE1,NT5C3B,OTUD1,KCTD7,FAM3B,OTUD3,ATXN7L1
10480,ZNF576,FIBCD1,PRDX1,LACTB2,ULK1,PSRC1,GPR89A,ABCD4
10481,INTS9,KLHL17,AP1S3,MLC1,SLC35A2,CPEB2,ANKRD32,NUDT9
10482,DHX33,MTRF1L,SMARCD1,ZNF770,CDC27,PIGP,BEX1,GART
10483,KIF22,ZNF146,SNORA76,FZD3,LATS1,ZNF708,RP11-87C12.2,IFI27
10484,FCGR1A,TTI1,STAT3,EPHX2,SMCR5,FAM98C,KCNC3,NISCH
10485,CCDC53,IMMT,B3GALTL,CEBPZ,CTD-3214H19.4,RAP1A,MUT,DENND5A
10486,KIF5C,ANKFY1,KLHL36,MAPKAPK5,FAS,ID3,FAAH2,RBM47
10487,PIF1,SH3RF1,DNAJC15,TBL2,FAM122B,KIAA0753,MORF4L2,FADS2
10488,MRPL15,HOMEZ,SP2,RP11-617D20.1,ZBTB20-AS1,PPP1R3D,TXNL4B,HELQ
10489,STAM,ZDHHC2,FBLIM1,EIF3A,ANKRD44,RP11-809N8.4,TK1,PID1
10490,PRKD3,PKIG,SLC40A1,RP11-398C13.6,KMT2A,POLR1C,GTF2IRD2B,ZFR
10491,RP11-141B14.1,MBLAC2,UBALD2,WDR7,AC009403.2,P2RY8,C11orf68,ACYP2
10492,CRYZL1,RP11-192H23.4,KIN,ZNF667-AS1,ERGIC1,CTSO,FLVCR1-AS1,PPP1CC
10493,SART3,RAPGEF1,PRKRA,MEMO1,PLEKHA5,PCSK6,TTTY15,YARS2
10494,CYB5R1,TLN1,KCNE3,ARMCX4,RTN4IP1,SCOC,CHST13,SUV420H1
10495,RAD52,UCKL1,SEC16A,TRAF3IP2-AS1,CLEC10A,CDC5L,DNAAF2,BTBD1
10496,SREK1,RPLP0,STAG2,PPP2R1A,XYLB,PLA2G4C,FXR1,RIOK2
10497,BRD9,ZCCHC17,PGAP1,C4orf47,ZNF852,TMEM65,PRNP,HSPBAP1
10498,RP11-690G19.3,PPP1R17,ZMAT2,OXCT1,TMEM251,TBC1D23,PIAS3,TM9SF4
10499,SYT17,DPM2,MAP4,SYMPK,RP11-686O6.2,FAXDC2,CRTC2,PPIL1
10500,TNIP2,BRD8,HSBP1,NAA38,GPATCH2L,CBWD6,RDH11,GRIPAP1
10501,TMEM214,KAZALD1,SERINC3,RAI1,RP11-403A21.2,KCTD5,THBS3,ZNF444
10502,LMAN2,DOT1L,WDR60,ZDHHC7,NUP85,TRABD,NR1H3,POGZ
10503,PEX7,CRCP,NEURL1,VPS33B,HERC5,TBC1D9,HN1L,DDX19A
10504,AP000442.1,EIF6,DNAJC2,SSFA2,RANBP3,SLC8B1,AGAP2,SNX12
10505,ARSB,DENND5B,CPT2,RNF31,SS18L1,USP9X,FRY-AS1,C5orf24
10506,CUEDC2,HMOX2,CBFA2T2,RP11-390F4.3,RABGEF1,ANO10,EMB,KDM4C
10507,TOR1B,ZNF281,KIAA0907,B3GALNT2,MICB,FUNDC1,RNF19B,RPRD1A
10508,RP11-713P17.3,ATXN7L3B,MMP23B,GNL3L,DCTD,FGD4,GLTSCR1L,DNAJC21
10509,MAPRE3,TFPT,TBC1D19,SUCO,FAM211A,VEZT,RP11-70C1.1,IARS
10510,SETD1A,RP11-146F11.1,CERS2,MBIP,TRIM47,CXCR6,DCBLD1,SMUG1
10511,ARMC8,NEK9,RAB3D,HLA-DQA1,IRF5,MDM4,APOBEC3D,GNGT2
10512,ST6GALNAC2,ARHGAP25,RNF20,SLC35E2,HIST1H4J,LMAN2L,GK,DLST
10513,ABCA7,CCHCR1,HIATL1,RAD51D,ZNF525,RPAP2,DFFB,ANTXR2
10514,ICMT,PCTP,ZBP1,DYM,PDE8A,SPATA13,SBNO2,VRK2
10515,SMAD5,NSMAF,HERC5,CLIP4,IL3RA,ZFP14,HYLS1,BLNK
10516,ARHGEF40,RAD23A,PCNP,RNPEPL1,PCNXL3,VEGFB,SEC23IP,FRMD8
10517,TMEM175,ARL6,CHUK,KIFAP3,SCARB2,C17orf72,KDM3A,OAT
10518,NUP160,C10orf76,CTD-2336O2.1,STK35,PLAGL2,SLC25A13,PFDN4,DCAF15
10519,ASMTL,FCF1,CCND2,LINC00954,LRFN3,EBP,ARL4D,TRIM21
10520,RLF,USP1,TMEM62,MTMR10,TMEM135,MOB3C,UGT2B17,SNX29
10521,MARCH8,RP11-403I13.8,POLL,GP9,AC147651.3,TIGD5,LPCAT4,KRI1
10522,SMIM8,ADAMTS10,DST,TMEM64,KBTBD8,XCL1,P4HA1,MINA
10523,FAM8A1,RIOK2,RELA,MASTL,TLR10,CLTA,ATXN1L,BAG5
10524,GANC,C15orf38,CYB5B,ZFAND4,RETN,ATAD2,COQ6,PDE7A
10525,ZSCAN25,ELF1,XXYLT1,DOLK,PHKG2,MORC2,ZC3H18,MED4
10526,MARK2,CCDC53,TRMT10C,CHMP1A,POLR3D,PTGIR,SCGB3A2,CEP164
10527,SBF1,TMEM38B,EXOC6,NDST1,TBL1XR1,UBA7,FDXR,SLC41A3
10528,ARID3B,ZNF623,RASA3,ZNF717,ZNF564,UGCG,NUDT15,RMND5B
10529,GATM,TMEM170B,TUBGCP3,PFAS,AC006116.20,GSTM2,TRIP6,CHD3
10530,LRCH3,ENDOV,RP1-39G22.7,CRTC2,RAB30-AS1,WARS2,FCRL3,PPWD1
10531,CHST15,PHIP,MVD,NAA15,MAN2A1,TRIB2,HMBOX1,CHI3L2
10532,ZNF337-AS1,ZNF337-AS1,GATA2,KB-431C1.4,RAB9A,HPS3,DHX34,C5orf45
10533,DBT,HDAC7,PRAM1,KIAA0947,TNPO2,FMO5,PSMC3,RAB6A
10534,BRI3BP,RP11-452L6.5,RPPH1,FRY,MLLT10,NOP14-AS1,CXorf23,MIS12
10535,TTYH3,DNMT3A,FAM46A,DAP,SLK,RP11-1055B8.7,TCOF1,RMDN3
10536,DTHD1,LARP7,CCDC146,KLHL5,AC008964.1,IVD,RNASEK,NFKBIL1
10537,RP11-305L7.1,RPS13,ENTPD4,INO80E,TXNL1,VPS9D1,TBC1D23,HIRIP3
10538,UBE2L3,ZRSR1,C9orf64,CCDC88B,DCAF12,NUTF2,RP11-727F15.12,RABEPK
10539,CTC-425F1.4,FOXP1,ZC3H18,WDR37,CEACAM3,RP11-162G10.5,ABHD14B,CHD6
10540,ACTA2,BEST4,C1orf85,FAM50B,NKIRAS2,IPO9,CHAC2,UHMK1
10541,CAPRIN1,SLC9A8,RP11-141B14.1,DHRS11,CC2D1B,S100A13,GGT1,PHF5A
10542,SDF2,DAGLB,CLDND2,LINC00672,SLC25A40,MAP4K5,CREB3L2,UTY
10543,SLC2A13,CHRAC1,NADK,VIPR1,MC1R,RECQL,NUP188,CHFR
10544,LMBR1,DHX38,NISCH,MNDA,C11orf35,ADIPOR2,SNX16,P2RX4
10545,ZNF641,NDST2,ZNF691,ST13,NISCH,MARS,PITPNM2,CHRNB1
10546,TRAF7,HACL1,TTC19,MRPL49,RP11-973H7.4,SSFA2,CDC16,ALAD
10547,ZNF550,POU2F2,ENTPD3-AS1,PI4K2B,BORA,ARID5A,SLC25A16,NSF
10548,FAM161B,BEX2,ACTA2,USP27X,C11orf30,ZNF677,GLE1,P2RY10
10549,MCC,RP11-138I1.4,NHLRC2,HSPH1,ANKAR,TUBE1,GEMIN4,RP9
10550,KCTD2,SKAP1,KCTD10,USP18,KIAA0513,ARFGAP1,TMEM167B,ATXN7
10551,RP11-398K22.12,CLIC3,UROD,LIN54,NBPF9,SSH1,MNAT1,ACLY
10552,RP11-798G7.6,PTK6,GPS2,TP53INP1,CBFA2T3,CCDC125,ACOX3,RAB3D
10553,FOSL2,CR1,ZNF100,DYRK1B,IST1,ZNF618,STXBP3,VPS16
10554,ABT1,CDK9,PQLC2,PLA2G1B,FAM127B,CYBRD1,ZMAT3,WBP4
10555,CTB-118N6.3,LOH12CR1,MMADHC,LIN7B,ACBD5,HDGFRP3,BAG3,ZNF224
10556,ALKBH1,DAZAP2,HEG1,PANX1,PPP2R3C,EIF4G1,TDRD7,CISD1
10557,VPS41,TNS1,DNTTIP1,ICAM1,PNPLA4,POLDIP3,MGME1,ADRBK2
10558,GRASP,LINC00402,DDI2,AP5S1,PIGL,UBOX5,GLT8D1,PBX2
10559,MAP3K13,SERINC3,DHX16,PSAP,TNRC6A,TRIM28,AMDHD2,RAB28
10560,TMEM52,PHACTR1,CXCR6,AIF1,POMK,SSH2,MRS2,COPRS
10561,CRTC3,KCNN4,PHACTR4,CCDC137,HHEX,ARL11,SPINK2,C1orf21
10562,STARD4,SNN,MOB1B,ZC3H18,ZNF320,TBC1D30,IFT57,CASP10
10563,C10orf32,RP11-46D6.1,TUBA8,ZNF446,RNF168,ARHGAP35,TAX1BP3,LINC00324
10564,PTPLB,FCHSD1,RUFY2,DOCK9-AS2,ERMARD,TMSB4Y,CREBZF,USP11
10565,FKBP4,EFNA3,ZCCHC8,ZNF226,RECK,NABP2,ATG16L1,MTA1
10566,TRIM26,CLEC4D,WBP5,MED7,RP11-111M22.3,RP11-361D15.2,ANG,RP5-1028K7.2
10567,POLR2I,LINC00861,ICA1L,TMEM131,KCNE3,RPL37A,VAV2,PIGT
10568,SLC44A2,APOPT1,NR1D2,CCDC146,TCF12,CLPP,ZNF71,USP24
10569,TP53BP2,PER2,XPO4,SRD5A3,TRIM13,KCNC3,ELL2,GSK3B
10570,YTHDF3-AS1,HES6,ACSF3,NUP188,GSTM2,KIFC3,FSD1L,NME2
10571,ARAF,PPP2R5D,MS4A7,RP11-350N15.5,SNX10,RP6-91H8.3,AARSD1,R3HDM2
10572,AC002117.1,TAZ,CCP110,ZNF814,ARAP2,KIAA0430,VCPIP1,MEF2C
10573,NFAM1,SNAPC3,PGM2L1,CCDC86,NBEAL1,AGBL5,ALG8,AGPAT6
10574,MAPKAPK2,ANKRD36,LINC00324,SMYD5,PRMT3,C14orf64,CKAP5,LINC00847
10575,TAF2,RNF115,ZBTB32,PADI4,RBM48,TFIP11,PDE6D,C16orf74
10576,SLC44A1,SH2B2,PDCD11,ZNF510,SYNJ1,HIF1AN,MITF,EXOG
10577,ABHD17B,SSR2,KCTD17,TFE3,TADA1,FRMD3,NSUN5,RNF126
10578,RAB14,MTFR1L,DHODH,PRUNE,FBXL15,EP300,PHLDB3,CDK5
10579,RASGEF1A,ALKBH6,ZC3H8,TMEM251,RP11-252A24.7,CALR,PARD6A,ABHD13
10580,SHKBP1,MLST8,PMP22,CDC34,PDLIM7,PLD4,AC026806.2,RBM10
10581,SMAP2,RP11-244H3.4,ALDH1A1,DHDDS,MSANTD3,RP11-166B2.8,TYSND1,ZSCAN16-AS1
10582,FTCDNL1,CTDP1,TTC32,RYK,HOMER1,ZNF44,MAML1,TFRC
10583,HNRNPLL,HBP1,TMEM40,ZNF780B,KLHL22,PRRT2,IFT46,MAML1
10584,ODF2,ACTR10,NPHP3,AC002310.12,PAPOLA,RP9,MEGF9,COG4
10585,C6orf106,CNST,PMEPA1,HLA-DMA,TAB2,SHPRH,SPSB2,FAM134C
10586,METRNL,GCLM,PACSIN1,PTPRO,NUDCD1,ADH5,IFT74,SERINC5
10587,PIP5K1C,TPTEP1,ADCK4,MCPH1,INO80E,ZNF544,RP11-78O7.2,SLC25A33
10588,NCAPH2,GCNT1,RP11-362F19.1,SMN2,RECQL,C17orf80,NXT2,SIRT5
10589,NUDCD2,ZNF420,PCSK5,SLC39A3,TOMM40,IFI27L1,ZNF197,SMARCC2
10590,YY2,PRDM1,MAP3K3,ZNF628,PCNXL2,AP1S3,BCDIN3D,CIZ1
10591,KIAA0368,LYSMD4,RP11-83A24.2,CAPN15,DLG1,RBM12B,ENO2,ZNF487
10592,CLOCK,RTP4,ZNFX1,NUDT11,C6orf25,GOLGA8A,FKBP1C,CBFA2T3
10593,PCK2,ACP2,FAM20B,MYC,AC093388.3,EPM2AIP1,ASPH,AIFM1
10594,ZBTB24,USP39,UXS1,HEXIM1,FAM129C,TOPBP1,RP11-131L23.1,MTX2
10595,TEX30,EMB,GP1BA,C7orf55,B3GNT1,PIK3C2A,TASP1,SNAPC2
10596,SNAP47,PELI2,PI16,APPBP2,ALOX5,TMEM206,EOMES,TMEM150A
10597,USP31,MAN2C1,SDCBP2-AS1,C19orf38,LY6G6F,ARL2BP,RBBP5,CAPNS1
10598,CATSPER1,UBL4A,AMBRA1,SSTR3,SLC22A5,PLEC,AGO1,CTBP2
10599,DAP3,ARID3A,PINK1,CAB39L,RP11-809O17.1,RNF144A,ADH5,CSGALNACT2
10600,RP11-362F19.1,ITGB1BP1,CEP135,SORBS1,TTLL11,DXO,DSC2,GLRX2
10601,IL13RA1,PRPF19,MXI1,C12orf44,TSPAN14,C1GALT1,TMEM209,NBN
10602,ATMIN,PDK3,MT1E,CNFN,NDUFB2-AS1,RRAS2,RP11-401F2.3,CREM
10603,XYLT2,FLII,LINC00426,SPRYD3,SLC51A,LACTB2,NAPB,RRP8
10604,SUZ12,GPR171,AC004854.4,PCM1,SLC26A11,AIM2,RP4-728D4.2,NUS1
10605,RP11-792A8.4,MFSD8,EPHA1,ZNF721,TMED3,ASH1L,SNED1,IRS2
10606,FKBP9,ESRRA,SCYL2,ZNF557,ARMCX5,NGRN,SMIM8,MSL1
10607,FMNL1,CBFA2T3,RP11-117D22.2,AC022498.1,MBOAT1,RP11-635N19.1,DOPEY1,XRCC1
10608,RHOQ,SURF6,SRGAP3,PCNXL2,RP5-1057J7.6,DNHD1,NUB1,ING1
10609,RNF141,PACSIN2,PCNXL3,MCAT,DAXX,GEMIN7,SLC31A2,CEP63
10610,COMT,BLOC1S6,FBXO32,NPTXR,PPP1R8,RP11-326I11.3,STARD3,ZC3H14
10611,MICAL2,ZBTB41,TFB1M,GDI1,MST1,FZD2,POLR3A,ANKFY1
10612,GTF2H2,SMARCA2,PSMC1,ATN1,TESPA1,EIF2B1,RP11-179B2.2,TRMT6
10613,SDSL,HSD17B8,ZNF692,FADS1,WDR3,ATG2B,LGALS8,MAP3K7
10614,RFC4,CPPED1,SIGMAR1,SNTA1,ECI1,GPKOW,RPL3,RP11-611E13.2
10615,PHYH,LRRC16A,RARG,C6orf57,AP1G1,TBC1D10B,FAM149B1,CCDC82
10616,TM9SF2,OSGIN1,PHF10,LEMD2,CBX3,DALRD3,ZFPL1,DICER1
10617,ST3GAL4,CHD2,SYNJ1,DUSP5,ZNF780B,CDC42EP1,HELLS,ANAPC4
10618,TBC1D22B,RNF146,C11orf1,RINT1,TBC1D22A,RP11-138A9.2,FAM49A,TXNRD1
10619,FADS2,ALG3,MPZL1,SOWAHD,DENR,WDR86,FAIM3,CKAP4
10620,KLHDC8B,ATP13A1,DLG1,GTF2IRD2B,POFUT2,DTX2,RFC3,HCFC1
10621,SPATA20,ARPC1B,BRMS1,DNM3,C15orf39,CXorf65,LRRFIP2,KTI12
10622,ZNF318,USE1,CLDN23,BPHL,IFT74,CCDC25,CCDC85B,GTPBP8
10623,TMEM87B,KPNA6,MANBA,RP11-452F19.3,SLC26A2,CCNYL1,PRICKLE4,PDPK1
10624,DCAF10,C6orf47,FTCDNL1,CD72,NUGGC,CTD-2547L16.1,TMEM116,MAP4K4
10625,RGS9,PXMP4,CTU2,RP1-102H19.8,COPS8,LY9,DSTN,AP1M1
10626,MAMDC4,PRDX3,CIC,FCRL5,UPK3A,ATF5,PARP9,SLC35C1
10627,ERLEC1,SNRNP35,DAPK1,ZDHHC21,NAT1,PDCD11,AGA,FAM159A
10628,GDAP2,CDK13,RNF111,TTC39B,PRKCZ,FAM214B,RPL36A,UBLCP1
10629,SLC25A42,MBD3,SERP1,SPATC1L,OGDH,CBX4,NLN,ISG15
10630,hsa-mir-8072,DDT,ARHGAP21,RASGRP4,MBD2,NIT2,CLTB,THAP4
10631,ACSS2,WDR26,TSPYL4,PDLIM5,ERAL1,MFSD6,WDR36,ABHD12
10632,BECN1,SIRPB2,AKT1S1,EFCAB14,CTD-3064H18.1,NPC1,PLCL2,PCBP1-AS1
10633,CIITA,TPT1-AS1,YARS2,RP11-802E16.3,PIK3CD,HDGF,COG3,TDP1
10634,FAM204A,TPD52,SLFN12,DHX58,C12orf49,CCNF,TANGO6,CCDC43
10635,AP001816.1,TAX1BP3,ARHGAP26,PET112,MAPRE2,SAMD3,DZIP3,CD180
10636,RP5-1007M22.2,GMPS,CLUH,PHF8,TMEM42,PDDC1,FAM86A,C12orf79
10637,PPARGC1B,LRBA,ZEB1,KIAA0226,TPRA1,PCYOX1L,DENND3,ATXN2
10638,ZNF646,GS1-124K5.11,AP001058.3,TMEM57,RP11-1191J2.5,CHTF18,LPAR5,TMEM42
10639,LINC00662,RP11-128M1.1,TADA3,PAGR1,RAB14,C22orf46,ARHGAP11B,BUD13
10640,CBWD2,RNF38,RIN3,ACSL5,TENM1,UCK1,TBC1D10B,AP3B1
10641,TARSL2,KDELC2,ZFP64,SPIDR,CMSS1,ZNF737,PPP1R17,UBE2Z
10642,SEPT11,ZNF639,HIATL2,AATF,MARCH1,ACOX1,SCOC,TRAF5
10643,ZNF674-AS1,LAS1L,MSRB3,CD4,RP3-329E20.2,PLEKHH2,TTLL3,HIBADH
10644,RP3-477O4.14,RP5-1057J7.6,RASSF2,ZNF655,SLC16A13,ASPSCR1,BBS7,FARS2
10645,AP4M1,VTA1,RBM12B,MDS2,TBC1D2B,RBM8A,ZNF34,ECE1
10646,ZEB2,C18orf8,C10orf88,RP11-644F5.11,UTP18,RAC3,SASS6,SERPINB1
10647,SELT,C12orf79,MAF,F12,RP11-90P5.2,PDHX,CDPF1,RBM26
